ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-08-13,214.71637814754882,212.52601826717148,229.47167109956132,214.71637814754882,214.71637814754882,6.020783772252764,6.020783772252764,6.020783772252764,-1.166750384370833,-1.166750384370833,-1.166750384370833,7.187534156623596,7.187534156623596,7.187534156623596,0.0,0.0,0.0,220.7371619198016
2024-08-14,214.89016572074712,212.9787078491429,229.16653039471132,214.89016572074712,214.89016572074712,6.295423193700181,6.295423193700181,6.295423193700181,-1.2655538951693701,-1.2655538951693701,-1.2655538951693701,7.56097708886955,7.56097708886955,7.56097708886955,0.0,0.0,0.0,221.1855889144473
2024-08-15,215.06395329394547,213.3868413197911,229.47671506361323,215.06395329394547,215.06395329394547,6.579475580390764,6.579475580390764,6.579475580390764,-1.363688776834004,-1.363688776834004,-1.363688776834004,7.943164357224767,7.943164357224767,7.943164357224767,0.0,0.0,0.0,221.64342887433625
2024-08-16,215.23774086714377,214.1312450043451,230.793151465836,215.23774086714377,215.23774086714377,7.083143121230885,7.083143121230885,7.083143121230885,-1.2444231541438662,-1.2444231541438662,-1.2444231541438662,8.32756627537475,8.32756627537475,8.32756627537475,0.0,0.0,0.0,222.32088398837465
2024-08-19,215.7591035867388,216.14702342088566,232.7136207182535,215.7591035867388,215.7591035867388,8.310727419398367,8.310727419398367,8.310727419398367,-1.1144795683820494,-1.1144795683820494,-1.1144795683820494,9.425206987780417,9.425206987780417,9.425206987780417,0.0,0.0,0.0,224.06983100613718
2024-08-20,215.93289115993716,216.41397910682198,232.67434183775933,215.93289115993716,215.93289115993716,8.582651379428146,8.582651379428146,8.582651379428146,-1.1667503843713745,-1.1667503843713745,-1.1667503843713745,9.749401763799522,9.749401763799522,9.749401763799522,0.0,0.0,0.0,224.5155425393653
2024-08-21,216.10667873313545,216.80859485205133,232.9064036853397,216.10667873313545,216.10667873313545,8.776005626526832,8.776005626526832,8.776005626526832,-1.2655538951694818,-1.2655538951694818,-1.2655538951694818,10.041559521696312,10.041559521696312,10.041559521696312,0.0,0.0,0.0,224.88268435966228
2024-08-22,216.2804663063338,217.11060117058855,234.13334288266367,216.2804663063338,216.2804663063338,8.931797482898055,8.931797482898055,8.931797482898055,-1.363688776830779,-1.363688776830779,-1.363688776830779,10.295486259728834,10.295486259728834,10.295486259728834,0.0,0.0,0.0,225.21226378923186
2024-08-23,216.4542538795321,217.5262389330431,233.9249715963951,216.4542538795321,216.4542538795321,9.261095067070523,9.261095067070523,9.261095067070523,-1.244423154140829,-1.244423154140829,-1.244423154140829,10.505518221211352,10.505518221211352,10.505518221211352,0.0,0.0,0.0,225.71534894660263
2024-08-26,216.97561659912714,218.36987544559153,235.17472349901252,216.97561659912714,216.97561659912714,9.711441547753143,9.711441547753143,9.711441547753143,-1.1144795683819915,-1.1144795683819915,-1.1144795683819915,10.825921116135136,10.825921116135136,10.825921116135136,0.0,0.0,0.0,226.68705814688028
2024-08-27,217.1494041723255,218.62016867309458,235.18297501909117,217.1494041723255,217.1494041723255,9.651389644406827,9.651389644406827,9.651389644406827,-1.1667503843743903,-1.1667503843743903,-1.1667503843743903,10.818140028781217,10.818140028781217,10.818140028781217,0.0,0.0,0.0,226.80079381673232
2024-08-28,217.3231917455238,217.7026055446844,235.14526497458448,217.3231917455238,217.3231917455238,9.484131352326056,9.484131352326056,9.484131352326056,-1.26555389516956,-1.26555389516956,-1.26555389516956,10.749685247495618,10.749685247495618,10.749685247495618,0.0,0.0,0.0,226.80732309784983
2024-08-29,217.49697931872214,218.70311488613027,234.84456752360543,217.49697931872214,217.49697931872214,9.256310211721587,9.256310211721587,9.256310211721587,-1.3636887768319441,-1.3636887768319441,-1.3636887768319441,10.61999898855353,10.61999898855353,10.61999898855353,0.0,0.0,0.0,226.75328953044374
2024-08-30,217.67076689192044,218.430642313254,234.80880385414082,217.67076689192044,217.67076689192044,9.185108322564727,9.185108322564727,9.185108322564727,-1.2444231541377917,-1.2444231541377917,-1.2444231541377917,10.429531476702518,10.429531476702518,10.429531476702518,0.0,0.0,0.0,226.85587521448517
2024-09-03,218.36591718471382,218.49915265345905,235.11090325922,218.36591718471382,218.36591718471382,7.936367052287485,7.936367052287485,7.936367052287485,-1.1667503843732545,-1.1667503843732545,-1.1667503843732545,9.10311743666074,9.10311743666074,9.10311743666074,0.0,0.0,0.0,226.30228423700132
2024-09-04,218.53970475791212,217.92379269666188,234.73483840722258,218.53970475791212,218.53970475791212,7.383544462594799,7.383544462594799,7.383544462594799,-1.2655538951697052,-1.2655538951697052,-1.2655538951697052,8.649098357764505,8.649098357764505,8.649098357764505,0.0,0.0,0.0,225.92324922050693
2024-09-05,218.71349233111047,217.43689275698856,234.22916316979493,218.71349233111047,218.71349233111047,6.792659683680297,6.792659683680297,6.792659683680297,-1.3636887768331094,-1.3636887768331094,-1.3636887768331094,8.156348460513406,8.156348460513406,8.156348460513406,0.0,0.0,0.0,225.50615201479076
2024-09-06,218.8872799043088,216.61475506036135,233.42092143670394,218.8872799043088,218.8872799043088,6.386664741094856,6.386664741094856,6.386664741094856,-1.2444231541377015,-1.2444231541377015,-1.2444231541377015,7.631087895232558,7.631087895232558,7.631087895232558,0.0,0.0,0.0,225.27394464540365
2024-09-09,219.4086426239038,216.23370614540357,232.07600228505828,219.4086426239038,219.4086426239038,4.813878819660812,4.813878819660812,4.813878819660812,-1.1144795683848643,-1.1144795683848643,-1.1144795683848643,5.928358388045676,5.928358388045676,5.928358388045676,0.0,0.0,0.0,224.2225214435646
2024-09-10,219.58243019710216,215.1733901278597,232.15810328405038,219.58243019710216,219.58243019710216,4.175478024338562,4.175478024338562,4.175478024338562,-1.166750384372119,-1.166750384372119,-1.166750384372119,5.342228408710681,5.342228408710681,5.342228408710681,0.0,0.0,0.0,223.75790822144072
2024-09-11,219.75621777030045,214.02477492787267,231.05502555313328,219.75621777030045,219.75621777030045,3.493210153578688,3.493210153578688,3.493210153578688,-1.2655538951697836,-1.2655538951697836,-1.2655538951697836,4.758764048748471,4.758764048748471,4.758764048748471,0.0,0.0,0.0,223.24942792387915
